python main_coco2.py --lr 0.003 --lmbd1 100000 --lmbd2 10 --anneal 100
train environment:  43
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
train environment:  46
['/coyote', '/raccoon']
class_indices:  [(0, '/coyote'), (1, '/raccoon')]
['/coyote', '/raccoon']

working with 2 training environments: 
env['images']:  858
env['labels']:  858
class distribution:  582 coyotes and 276 raccoons. baseline accuracy 0.68 (always coyote).
env['images']:  753
env['labels']:  753
class distribution:  512 coyotes and 241 raccoons. baseline accuracy 0.68 (always coyote).
x_test:  522
y_test:  522
test class distribution:  144 coyotes and 378 raccoons. baseline accuracy 0.28 (always coyote).
Using GPU - True

========================================COCO========================================
{'n_restarts': 1, 'steps': 2001, 'n_classes': 2, 'fc_only': True, 'model_path': './models/', 'transform': {'train': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
), 'test': Compose(
    CenterCrop(size=(224, 224))
    ToTensor()
    Normalize(mean=[0.485, 0.456, 0.406], std=[0.229, 0.224, 0.225])
)}, 'loader_tr_args': {'batch_size': 100, 'num_workers': 1}, 'loader_te_args': {'batch_size': 100, 'num_workers': 1}, 'loader_sample_args': {'batch_size': 100, 'num_workers': 1}}
step            loss            train nll       train acc       dir_w           inv_w           test nll        test acc        test prec       test rec     
510             4.62654         0.30462         0.86778         0.30806         4.01385         0.49444         0.78212         0.84595         0.85714      
520             1.22208         0.30317         0.86733         0.30903         0.60989         0.46701         0.81712         0.85049         0.91799      
530             2.03656         0.30626         0.86711         0.30632         1.42399         0.46242         0.83545         0.85106         0.95238      
540             6.05387         0.30080         0.86738         0.30789         5.44518         0.44359         0.83394         0.84988         0.92857      
550             2.05344         0.30513         0.86630         0.30783         1.44048         0.46893         0.80136         0.84910         0.87831      
560             1.99644         0.30187         0.86629         0.30815         1.38642         0.47846         0.79379         0.84872         0.87566      
570             2.17480         0.30788         0.86242         0.31737         1.54955         0.48301         0.78530         0.84596         0.88624      
580             0.77657         0.30857         0.86696         0.31420         0.15381         0.46561         0.80955         0.85012         0.91534      
590             3.05708         0.30764         0.86551         0.31159         2.43785         0.48359         0.80303         0.84949         0.88095      
600             15.58062        0.31389         0.86169         0.31595         14.95079        0.47585         0.79864         0.84901         0.90741      
610             1.76826         0.30540         0.86994         0.30225         1.16062         0.47381         0.80227         0.84794         0.87037      
620             0.81733         0.30584         0.86782         0.30888         0.20260         0.44943         0.82985         0.84938         0.91005      
630             4.94750         0.30005         0.87147         0.29489         4.35256         0.47595         0.79636         0.84794         0.87037      
640             2.87840         0.30685         0.86484         0.31322         2.25834         0.48705         0.79303         0.84715         0.86508      
